id,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,label
0,-0.4394,-0.093,0.1718,0.462,0.6226,0.4704,0.3578,0.0478,-0.1184,-0.231,-0.2958,1
1,-0.4348,-0.1198,0.2474,0.4036,0.5026,0.6328,0.4948,0.0338,-0.052,-0.1302,-0.0964,1
2,-0.233,0.2124,0.5014,0.5222,-0.3422,-0.584,-0.7168,-0.6342,-0.8614,-0.8318,-0.7228,2
3,-0.3808,-0.0096,0.2602,0.2554,-0.429,-0.6746,-0.6868,-0.665,-0.841,-0.9614,-0.7374,2
4,-0.3412,0.0946,0.6082,0.6216,-0.1622,-0.3784,-0.4324,-0.4358,-0.4966,-0.5406,-0.5472,3
5,-0.4634,0.0306,0.3546,0.4448,-0.1022,-0.4184,-0.6388,-0.437,-0.4396,-0.6654,-0.7424,3
6,-0.3364,-0.0102,0.2132,0.2018,-0.6146,-0.838,-0.813,-0.724,-0.8062,-0.8996,-0.7766,4
7,-0.4798,-0.158,0.1764,0.182,-0.6378,-0.84,-0.728,-0.6654,-0.7978,-0.7904,-0.8088,4
8,-0.3928,0.0424,0.2166,0.2124,-0.4564,-0.62,-0.7112,-0.6602,-0.6942,-0.792,-0.8026,5
9,-0.5494,-0.094,0.2868,0.2964,-0.5326,-0.7204,-0.7518,-0.7398,-0.8482,-0.8386,-0.8988,5
10,-0.3646,0.0904,0.2374,0.3044,0.6188,0.7592,0.9264,0.6522,0.6054,0.2442,0.224,6
11,-0.6926,-0.3318,-0.1414,-0.1512,0.0098,0.2926,0.244,0.3074,-0.0098,-0.0536,-0.0634,6
12,-0.2532,0.167,0.347,0.3734,-0.257,-0.726,-0.8086,-0.636,-0.7748,-0.8536,-0.8386,7
13,-0.403,-0.1284,0.2986,0.2358,-0.9134,-0.7552,-0.7642,-0.7134,-0.7014,-0.794,-0.8268,7
14,-0.3216,0.186,0.1248,0.3654,0.488,0.4618,-0.1816,-0.0854,-0.2516,-0.453,-0.4354,8
15,-0.5368,-0.2516,0.1448,0.1848,0.3184,0.1982,0.1046,-0.2472,-0.3898,-0.3364,-0.3364,8
16,-0.455,-0.1044,-0.0924,-0.03,0.1068,0.3782,0.8248,0.9856,1,0.964,0.9784,9
17,-0.4804,-0.1238,0.0792,0.1114,0.07,0.4096,0.445,0.7326,0.8448,0.9616,1,9
18,-0.3368,0.0026,0.5802,0.4706,0.2514,-0.091,-0.361,-0.3664,-0.2326,-0.4866,-0.5,10
19,-0.588,-0.2028,0.1304,0.2278,0.2132,-0.1822,-0.296,-0.3084,-0.7722,-0.4224,-0.5052,10
20,-0.256,0.391,0.263,0.4948,0.7854,0.8132,0.346,0.218,0.083,-0.1418,-0.2214,11
21,-0.3896,0.1042,0.319,0.4478,0.8252,0.7576,0.5982,0.319,0.23,0.0184,-0.0062,11
22,-0.3384,0.1034,0.226,0.3206,0.7114,0.6372,0.6808,0.3026,0.1468,-0.0932,-0.1776,12
23,-0.481,-0.1146,0.2654,0.289,0.5102,0.5514,0.618,0.236,0.0696,-0.0324,-0.003,12
24,-0.2116,0.2024,0.4222,0.4596,0.7216,0.5954,0.434,0.069,0.0036,-0.2234,-0.055,13
25,-0.5672,-0.2202,0.022,0.0734,0.1058,0.1516,0.224,-0.1058,-0.1898,-0.102,-0.3156,13
26,-0.516,-0.212,0.1686,0.1976,0.1562,-0.0176,-0.0362,-0.0672,-0.154,-0.636,-0.4106,14
27,-0.533,-0.0868,0.1838,0.2394,0.4428,0.2694,-0.015,-0.2924,-0.422,-0.5654,-0.6232,14
28,-0.3656,0.0296,0.316,0.5526,0.903,0.9574,0.9834,0.8556,0.9314,0.9692,0.3822,15
29,-0.5154,-0.174,0.314,0.5392,0.8566,0.9488,0.7884,0.7508,0.8464,1,0.7542,15
30,-0.3098,0.2158,0.3686,0.4566,-0.0484,-0.4362,-0.812,-0.5712,-0.4538,-0.8532,-0.718,16
31,-0.3762,0.0632,0.2266,0.3142,-0.206,-0.4752,-0.7284,-0.5858,-0.6156,-0.7032,-0.7538,16
32,-0.3176,0.0996,0.3048,0.3744,-0.3492,-0.6208,-0.6998,-0.643,-0.7884,-0.763,-0.6936,17
33,-0.279,0.2374,0.4154,0.5134,-0.0178,-0.3858,-0.7656,-0.6736,-0.733,-0.7092,-0.724,17
34,-0.4244,-0.0186,0.0166,0.0042,0.2506,0.3686,0.7432,1,0.9254,0.9544,0.4844,18
35,-0.5984,-0.2426,-0.1252,-0.0934,0.0178,0.3082,0.5646,0.847,0.9602,1,0.658,18
36,-0.6026,-0.1354,-0.0874,-0.0568,0.4628,0.5458,0.3712,0.2052,0.0132,-0.1834,-0.166,19
37,-0.8796,-0.213,-0.1712,0.0046,0.2084,0.2592,0.125,-0.2038,-0.3288,-0.3334,-0.5602,19
38,-0.2424,0.4094,0.2872,0.446,0.1608,-0.3402,-0.4786,-0.4624,-0.4704,-0.5764,-0.4908,20
39,-0.5926,-0.0874,0.1376,0.283,-0.172,-0.5502,-0.656,-0.5926,-0.7936,-0.6032,-0.5952,20
40,-0.1836,0.2302,0.148,0.1178,-0.4028,-0.8136,-0.4986,-0.4466,-0.789,-0.9068,-0.8904,21
41,-0.2844,0.0396,0.0974,0.0472,-0.8342,-0.9228,-0.8514,-0.8842,-0.8824,-0.9498,-0.8862,21
42,-0.093,0.6112,1,0.9436,0.6778,-0.2956,-0.0664,0.0432,-0.4784,-0.5614,-0.4418,22
43,-0.4244,0.0856,0.102,-0.0428,-0.1644,-0.9244,-0.5922,-0.4178,-0.6678,-0.7402,-0.5592,22
44,-0.2562,0.1016,0.565,0.7138,0.8926,1,0.7176,0.71,0.5368,0.548,0.6026,23
45,-0.1854,0.2124,0.6642,0.743,1,0.8384,0.714,0.3348,0.1958,0.1358,0.084,23
46,-0.4722,-0.093,-0.249,-0.1078,0.2714,0.368,0.658,0.5986,0.3308,0.1672,0.1078,24
47,-0.632,-0.136,-0.152,-0.104,0.176,0.368,0.368,0.312,-0.048,-0.104,-0.176,24
48,-0.2538,0.1388,0.655,0.885,0.9214,1,0.7644,0.7784,0.4614,0.1108,-0.0266,25
49,-0.3322,0.1474,1,0.9352,0.3938,0.799,0.6662,0.4814,-0.1572,-0.2998,-0.5688,25
50,-0.3978,-0.1384,0.2616,0.1604,-0.3758,-0.7934,-0.7186,-0.6088,-0.5868,-0.5252,-0.5604,26
51,-0.5526,-0.2762,0.286,0.1834,-0.4646,-0.8606,-0.687,-0.582,-0.7042,-0.8264,-0.7066,26
52,0.0362,0.751,0.7188,1,0.9358,0.984,0.8072,0.4338,0.229,0.2088,-0.008,1
53,0.022,0.674,0.6082,0.9122,0.768,1,0.7932,0.5204,0.1786,0.1568,-0.1974,1
54,0.2234,1,0.934,0.7564,0.604,-0.0254,-0.3148,-0.3858,-0.6192,-0.5736,-0.6548,2
55,0.208,1,0.9758,0.8424,0.7374,0.099,-0.0506,-0.2646,-0.491,-0.499,-0.3898,2
56,0.002,0.8828,0.9232,0.7132,0.7172,0.1556,0.0788,-0.309,-0.4344,-0.5434,-0.5596,3
57,0.1346,0.9904,1,0.774,0.7116,0.1682,0.101,-0.4278,-0.476,-0.3846,-0.4616,3
58,0.1626,1,0.9732,0.706,0.5768,-0.069,-0.2606,-0.4388,-0.568,-0.4522,-0.715,4
59,0.1888,1,0.9602,0.7534,0.5706,0.1372,-0.0418,-0.4076,-0.5826,-0.4314,-0.515,4
60,0.0616,0.7376,0.658,0.7336,0.5188,0.0854,-0.2326,-0.4116,-0.8568,-0.8568,-0.7256,5
61,0.0824,0.9882,1,0.6784,0.4784,-0.0902,-0.3254,-0.298,-0.4392,-0.804,-0.596,5
62,0.0956,0.8426,0.7978,0.8202,0.7304,1,0.8426,0.6742,0.4326,0.0898,-0.028,6
63,-0.082,0.541,0.4918,0.6502,0.7378,1,0.8744,0.4864,0.3006,0.235,0.0656,6
64,0.0342,0.9872,0.9958,0.718,0.6324,0.1538,0.0642,-0.3462,-0.4102,-0.5982,-0.6196,7
65,0.0322,0.7782,0.758,0.5162,0.4354,0,-0.0524,-0.5524,-0.6088,-0.6048,-0.4678,7
66,-0.0616,0.5954,0.7302,1,0.8652,0.9238,0.4898,0.2668,-0.0674,-0.1144,-0.1848,8
67,-0.1398,0.4766,0.6944,0.8756,0.9534,1,0.5906,0.3626,0.1036,-0.0622,-0.0518,8
68,-0.2488,0.2248,0.3122,0.442,0.6772,0.6712,1,0.8944,0.834,0.7044,0.7496,9
69,-0.1922,0.3414,0.2632,0.4884,0.525,0.6474,0.9388,1,0.6696,0.6132,0.667,9
70,-0.0304,0.628,0.653,1,0.8998,0.3668,0.1162,0.17,-0.0948,-0.1556,-0.2272,10
71,0.0226,0.717,0.7548,1,0.9246,0.5736,0.3208,0.2226,0.0642,0.0754,-0.132,10
72,0.0534,0.8978,0.92,0.9556,0.9466,0.9956,1,0.3912,0.3112,-0.0666,-0.08,11
73,-0.0062,0.8044,0.7964,0.939,0.8982,1,0.9552,0.3972,0.2586,0.051,-0.055,11
74,0.0038,0.7004,0.6304,0.8132,0.7744,1,0.8678,0.6654,0.3814,0.1946,-0.0078,12
75,-0.0074,0.6144,0.5666,0.8146,0.734,1,0.8684,0.6412,0.408,0.1868,-0.0702,12
76,0.0326,0.697,0.6678,0.746,0.658,1,0.8632,0.531,0.355,0.241,0.0326,13
77,-0.064,0.5432,0.5042,0.585,0.7438,1,0.8608,0.3956,0.2144,0.326,0.103,13
78,-0.082,0.5116,0.459,0.5766,0.7466,1,0.8392,0.5394,0.2582,0.2642,0.119,14
79,-0.1218,0.4714,0.4126,0.6358,0.862,1,0.7886,0.5566,0.2188,0.1894,0.0102,14
80,-0.1834,0.3176,0.4516,0.578,1,0.996,0.7554,0.6174,0.6332,0.4438,0.5424,15
81,-0.0652,0.5296,0.4658,0.6844,0.8362,1,0.7512,0.8058,0.4598,0.5022,0.0288,15
82,0.0878,0.961,1,0.5166,0.5126,0.037,-0.0604,-0.3178,-0.3216,-0.497,-0.345,16
83,0.1688,1,0.9822,0.7512,0.6666,-0.0312,-0.0978,-0.2444,-0.4088,-0.5112,-0.4356,16
84,0.0852,0.963,1,0.6296,0.6408,-0.0296,0.0222,-0.363,-0.326,-0.474,-0.326,17
85,0.179,0.965,0.965,0.895,0.8678,0.323,0.3036,-0.4164,-0.4396,-0.249,-0.2802,17
86,-0.1994,0.3122,0.2408,0.447,0.5544,0.6726,0.9532,1,0.6038,0.5654,0.4498,18
87,-0.1652,0.4112,0.3764,0.4708,0.5578,0.759,0.8782,1,0.7888,0.605,0.5802,18
88,-0.1838,0.3556,0.3222,0.5848,0.7184,1,0.8854,0.5656,0.3556,0.3366,0.198,19
89,-0.0072,0.6182,0.6038,0.7422,0.7136,1,0.9046,0.5084,0.3604,0.2268,0.0072,19
90,-0.0504,0.9496,1,0.3854,0.3486,-0.2018,-0.2386,-0.399,-0.422,-0.6926,-0.6422,20
91,0.0548,0.9738,1,0.6236,0.5318,-0.011,-0.1072,-0.4486,-0.5492,-0.6062,-0.5142,20
92,0.2552,1,0.9054,0.502,0.2182,-0.3004,-0.5474,-0.465,-0.6748,-0.753,-0.7614,21
93,0.214,1,0.9378,0.6148,0.4786,-0.2684,-0.4552,-0.4552,-0.7004,-0.568,-0.747,21
94,0.1064,1,0.9958,0.7494,0.6994,0.1274,0.048,-0.4406,-0.478,-0.6116,-0.5282,22
95,0.1476,1,0.9328,0.4804,0.3122,-0.5664,-0.4804,-0.413,-0.4804,-0.3794,-0.4392,22
96,-0.0746,0.613,0.6026,0.9058,0.8484,1,0.613,0.383,0.1974,0.187,0.1686,23
97,-0.0608,0.584,0.5352,0.837,0.9392,1,0.7348,0.3018,0.36,0.365,0.1022,23
98,-0.283,0.3812,0.4264,0.6,0.8868,1,0.917,0.5774,0.2604,0.2528,0.1622,24
99,-0.1222,0.4984,0.4852,0.7162,0.9076,1,0.7294,0.7492,0.3796,0.3598,0.1288,24
100,0.007,0.699,0.616,0.9758,1,0.9966,0.8616,0.8824,0.7198,0.6748,-0.2698,25
101,0.031,0.7462,0.6874,1,0.8204,0.8762,0.6564,0.7182,0.3622,0.0402,-0.418,25
102,0.1992,0.9602,0.8924,1,0.8088,0.0638,-0.1554,-0.3148,-0.5258,-0.4184,-0.3666,26
103,0.187,1,0.9096,0.9828,0.772,-0.2344,-0.4494,-0.372,-0.544,-0.4796,-0.4924,26
104,-0.91,-0.387,-0.3066,0.2048,0.1928,0.6852,0.5644,0.2782,0.181,0.2072,0.077,1
105,-0.9832,-0.4854,-0.3556,-0.1214,0.205,0.3284,0.1882,0.2364,0.2218,0.1758,0.1402,1
106,-0.8064,-0.1644,-0.2044,0.2228,0.0814,-0.4962,-0.5238,-0.318,-0.4532,-0.2904,-0.4348,2
107,-0.9042,0.0684,-0.0136,-0.0342,-0.315,-0.5206,-0.6028,-0.5068,-0.7054,-0.6164,-0.6918,2
108,-0.961,0.1922,0.3298,-0.2988,-0.2416,-0.548,-0.2832,-0.3896,-0.1376,-0.148,-0.3454,3
109,-0.5492,0.7524,0.7524,-0.1936,-0.1428,-0.1492,-0.1048,-0.1302,-0.2634,-0.5682,-0.7842,3
110,-0.6772,-0.0366,-0.1246,-0.044,-0.2444,-0.56,-0.5966,-0.511,-0.5232,-0.4914,-0.4866,4
111,-0.8672,-0.3452,0.239,0.2772,-0.407,-0.6696,-0.6372,-0.531,-0.531,-0.711,-0.6224,4
112,-0.883,-0.2362,-0.269,0.0042,-0.189,-0.5586,-0.6694,-0.7084,-0.651,-0.5894,-0.7104,5
113,-0.7954,-0.142,-0.227,-0.1394,-0.397,-0.6786,-0.8008,-0.7476,-0.7636,-0.7184,-0.7184,5
114,-0.9472,-0.3782,-0.3608,-0.1026,0.2434,0.5602,0.4604,0.4076,0.2258,0.349,0.1496,6
115,-0.9732,-0.208,-0.2484,0.1208,0.4094,0.7584,0.5168,0.6442,0.3422,0.396,0.2148,6
116,-0.8294,-0.2682,-0.1688,0.1012,-0.1368,-0.627,-0.5134,-0.46,-0.3784,-0.4068,-0.357,7
117,-0.7976,0.0328,-0.003,-0.0714,-0.2024,-0.494,-0.5268,-0.4524,-0.613,-0.4136,-0.5684,7
118,-0.9214,-0.4888,-0.1686,0.2192,0.2078,-0.0168,-0.2416,-0.1798,-0.1292,-0.1516,-0.146,8
119,-0.9948,-0.3334,-0.2512,-0.0924,-0.0206,-0.1334,-0.2154,-0.1642,-0.2512,-0.3744,-0.3488,8
120,-0.958,-0.4784,-0.4878,-0.3084,-0.1594,-0.0594,0.2666,0.4878,1,0.9512,0.8486,9
121,-0.887,-0.64,-0.4206,-0.28,-0.017,0.1412,0.506,0.5884,0.8708,0.8498,1,9
122,-0.7432,0.0582,0.0366,0.4006,0.3426,0.101,-0.0244,0.1314,-0.0582,0.0336,-0.1132,10
123,-0.6276,0.3046,0.2616,0.5476,0.4646,0.5384,0.3662,0.2984,0.1046,-0.0216,-0.1138,10
124,-0.93,0.166,0.2786,0.1934,0.379,0.6074,0.8874,0.5616,0.2664,0.0928,0.315,11
125,-0.9088,-0.0842,-0.0596,-0.365,-0.2772,0.0562,0.2,-0.179,-0.1088,-0.565,-0.3404,11
126,-0.9274,-0.2452,-0.2426,0.1232,0.2762,0.5046,0.2426,0.1854,0.1726,0.2192,0.0844,12
127,-0.8806,-0.2176,-0.3172,-0.1266,0.394,0.5504,0.4054,0.4594,0.1608,0.1436,0.084,12
128,-0.6834,0.3278,0.2944,-0.4778,0.225,1,0.8862,0.8778,0.75,0.5694,0.4056,13
129,-0.8164,-0.0292,-0.0376,0.1682,-0.0432,-0.185,-0.3268,-0.21,-0.5048,-0.3824,-0.466,13
130,-0.5052,0.2894,0.1684,0.5764,0.2868,0.1948,-0.2684,-0.2394,-0.0236,-0.0158,-0.421,14
131,-0.714,0.1774,0.1088,-0.0094,-0.1938,-0.3192,-0.5342,-0.468,-0.61,-0.435,-0.7352,14
132,-0.9896,-0.4078,-0.4244,0.0476,0.1884,0.6314,0.5446,0.6108,0.6854,1,0.911,15
133,-0.7836,0.0366,-0.0092,0.2226,0.1798,0.5214,0.4054,0.6798,0.7714,1,0.6068,15
134,-0.1702,0.0212,0.4042,0.383,0,0.149,0.234,-0.0638,0.0638,0.0638,0.3618,16
135,-0.995,0.371,0.4938,-0.253,-0.5824,-0.5332,-0.145,-0.2776,-0.484,-0.4448,-0.4202,16
136,-0.8746,0.18,0.283,-0.389,-0.6366,-0.479,-0.2958,-0.463,-0.3602,-0.4438,-0.418,17
137,-0.8484,0.1642,0.2172,-0.6388,-0.692,-0.457,-0.3132,-0.6642,-0.5606,-0.75,-0.5732,17
138,-0.9488,-0.617,-0.3934,-0.2492,0.0598,0.3516,0.765,0.7252,0.7896,0.9716,1,18
139,-0.698,-0.1732,-0.2706,-0.4062,-0.076,0.082,0.5826,0.6514,0.848,0.8176,1,18
140,-0.939,-0.4132,-0.3896,-0.122,0.1126,0.2958,0.2816,0.324,0.23,0.2394,0.23,19
141,-0.9516,-0.3044,-0.372,-0.2608,0.0338,0.3382,0.1208,-0.0918,-0.1498,-0.0772,-0.1014,19
142,-0.6444,0.7592,0.8444,-0.3186,-0.7408,-0.2074,0.0038,-0.4,-0.526,-0.7704,-0.5074,20
143,-0.9646,0.3398,0.4028,-0.4578,-0.391,-0.3006,-0.273,-0.497,-0.442,-0.6346,-0.615,20
144,-0.7022,0.0088,-0.1698,-0.0472,-0.4606,-0.4712,-0.5762,-0.6358,-0.6882,-0.6882,-0.6742,21
145,-0.5156,0.1736,-0.0182,-0.3704,-0.4326,-0.3808,-0.785,-0.8108,-0.785,-0.759,-0.6762,21
146,-0.725,0.0508,0.0192,-0.0666,-0.1184,-0.2852,-0.3912,-0.4048,-0.5378,-0.3618,-0.5378,22
147,-0.72,-0.0886,-0.1944,-0.0264,-0.297,-0.6516,-0.4682,-0.406,-0.5864,-0.6112,-0.6018,22
148,-0.853,-0.4938,0.4612,0.4368,-0.551,-0.6572,-0.5918,-0.5346,-0.3552,-0.7224,-0.4858,23
149,-0.6564,-0.1764,0.1718,0.2142,-0.8118,-0.6564,-0.5812,-0.6376,-0.7036,-0.6658,-0.6752,23
150,-0.8358,-0.2,-0.1898,-0.2,0.118,0.723,0.7436,0.4564,0.3334,0.3334,0.2924,24
151,-0.8696,-0.5144,-0.442,-0.1376,0.1086,0.2536,0.3116,0.1884,0.1522,-0.029,0.0144,24
152,-0.2362,0.4386,0.819,1,0.3282,0.224,0.092,-0.224,-0.7914,-0.73,-0.819,25
153,-0.3814,0.518,0.3738,0.6888,0.4952,0.5104,1,0.7572,0.2448,-0.1348,-0.6394,25
154,-0.3444,0.7142,0.619,0.3882,0.1502,-0.1942,-0.2858,-0.0036,-0.2674,-0.0842,-0.1466,26
155,-0.8738,0.1594,0.1096,0.1662,0.0332,-0.5648,-0.681,-0.618,-0.7044,-0.3554,-0.4984,26
156,-0.284,0.1694,0.3222,0.4654,0.957,0.9666,0.451,0.2792,0.2506,0.0596,0.093,1
157,-0.5052,-0.212,0.0732,0.288,0.5838,0.5184,0.5498,0.178,0.0706,0.0524,0.013,1
158,-0.155,0.3838,0.3838,0.5572,0.2324,-0.262,-0.7232,-0.7638,-0.5388,-0.6974,-0.6532,2
159,-0.2268,0.244,0.4742,0.5946,0,-0.5532,-0.6186,-0.6632,-0.6908,-0.8626,-0.8866,2
160,-0.0866,0.593,0.6536,0.8962,0.697,0.1732,-0.065,-0.1774,-0.1774,-0.2078,-0.355,3
161,-0.308,0.336,0.332,0.312,0.224,-0.064,-0.156,-0.288,-0.38,-0.38,-0.448,3
162,-0.2868,0.0992,0.8236,0.783,-0.0258,-0.3566,-0.375,-0.511,-0.75,-0.8786,-0.739,4
163,-0.3936,-0.0346,0.2102,0.2978,-0.1038,-0.3138,-0.4602,-0.5878,-0.5346,-0.5558,-0.5558,4
164,-0.3382,0.1078,0.0162,0.161,-0.0842,-0.3974,-0.6928,-0.6928,-0.619,-0.7252,-0.7076,5
165,-0.3742,0.0552,-0.0184,0.1092,-0.1558,-0.4184,-0.573,-0.573,-0.6516,-0.7816,-0.7252,5
166,-0.4016,-0.0708,0.1812,0.2834,0.5512,0.8346,0.8898,0.4174,0.1732,0.1102,0.2048,6
167,-0.275,0.0656,0.1678,0.3284,0.6934,0.674,0.6886,0.528,0.236,0.27,0.2604,6
168,-0.1486,0.3644,0.5724,0.725,0.238,-0.2156,-0.4536,-0.5688,-0.4052,-0.4944,-0.4908,7
169,-0.3928,-0.0532,0.2796,0.3414,-0.2144,-0.3756,-0.5472,-0.554,-0.5608,-0.6604,-0.65,7
170,-0.3614,-0.0302,0.259,0.5602,0.771,0.5662,0.3374,0.1988,0.0722,-0.0784,-0.0302,8
171,-0.5106,-0.2234,0.149,0.282,0.6276,0.5532,0.0638,0.0532,0.0692,-0.0212,-0.0478,8
172,-0.4546,-0.2324,0.0258,0.0078,0.1088,0.4456,0.688,0.771,0.89,0.8496,0.89,9
173,-0.4554,-0.1938,0.0416,0.0298,0.1772,0.5386,0.6932,0.8454,1,0.9406,0.8382,9
174,-0.2424,0.1486,0.6742,0.727,0.7678,0.5764,0.1812,0.0876,-0.0632,-0.0224,-0.1284,10
175,-0.3426,0.0462,0.3982,0.5246,0.574,0.5772,-0.068,-0.0124,0.108,0.0154,0.0246,10
176,-0.1878,0.4084,0.3428,0.5492,0.662,0.878,0.6432,0.6244,0.2864,0.1738,0.1174,11
177,-0.3654,0.3254,0.253,0.5702,0.7028,1,0.7912,0.6626,0.3254,0.3614,0.0964,11
178,-0.291,0.1066,0.1844,0.2664,0.6886,0.7786,0.9754,0.7132,0.2172,0.3484,0.2172,12
179,-0.4518,-0.1632,0.1952,0.2914,0.5454,0.8796,0.845,0.1872,0.1176,0.1444,0.1176,12
180,-0.291,0.081,0.3736,0.399,0.4562,0.5262,0.6152,0.4118,0.3164,0.1224,0.1288,13
181,-0.3372,0.1006,0.0462,0.2048,0.6,0.7136,0.5242,0.3136,0.1384,0.136,0.0414,13
182,-0.5,-0.1894,-0.0048,0.1068,0.4344,0.364,0.25,0.0558,0.0364,-0.1796,-0.2476,14
183,-0.327,0.0768,-0.0014,0.117,0.607,0.6796,0.311,0.1764,0.0364,-0.0068,-0.0578,14
184,-0.398,-0.0506,0.2244,0.2706,0.5862,0.893,1,0.6672,0.5716,0.7888,0.8668,15
185,-0.3414,0.0396,0.25,0.3536,0.756,0.8324,1,0.7958,0.5488,0.878,0.8324,15
186,-0.032,0.754,0.7914,0.353,0.369,0,0.0534,-0.3102,-0.262,-0.4974,-0.4706,16
187,-0.1682,0.5632,0.591,0.2756,0.2998,0.0018,0.0086,-0.1266,-0.1022,-0.376,-0.234,16
188,0,0.8412,0.836,0.5344,0.4974,0.053,0.0794,-0.217,-0.0846,-0.3756,-0.418,17
189,-0.1526,0.4488,0.4608,0.28,0.286,0.0222,-0.0014,-0.1526,-0.123,-0.2592,-0.2592,17
190,-0.4654,-0.2364,0.0486,0.1146,0.2694,0.6346,0.8864,0.9504,1,0.8452,0.7874,18
191,-0.4606,-0.222,0.0104,0.002,0.1702,0.6078,0.8216,0.9896,1,0.9606,0.7302,18
192,-0.3082,0.0828,0.2706,0.3308,0.827,0.8422,1,0.6466,-0.015,0.1428,0.0602,19
193,-0.3918,0.0676,0.0136,0.2432,0.6756,0.7298,0.4798,0.419,0.196,0.1352,0.1486,19
194,-0.0896,0.5394,0.5284,0.4332,0.404,0.1408,0.0822,-0.1188,-0.17,-0.3492,-0.4224,20
195,-0.265,0.4808,0.5138,0.1554,0.192,-0.1956,-0.1152,-0.2944,-0.2102,-0.532,-0.309,20
196,0.0142,0.6524,0.5988,0.5608,0.444,0.1596,-0.0174,-0.3112,-0.4186,-0.447,-0.3176,21
197,-0.266,0.182,0.2504,0.381,-0.0264,-0.409,-0.5676,-0.5956,-0.58,-0.6268,-0.5738,21
198,-0.2184,0.174,0.6962,0.669,-0.1808,-0.546,-0.5052,-0.7236,-0.761,-0.6962,-0.7134,22
